"ID"	"A"	"B"	"C"	"Y"
1549	1549	-0.98	0.2	-0.78
1550	1550	-0.37	2.53	2.17
1551	1551	0.58	-1.39	-0.8
1552	1552	1	0.05	1.05
1553	1553	0.49	1.76	2.25
1554	1554	-0.46	-1.91	-2.37
1555	1555	-1	-0.09	-1.08
1556	1556	-0.61	1.29	0.68
1557	1557	0.33	-2.82	-2.49
1558	1558	0.97	-0.23	0.74
1559	1559	0.72	0.97	1.69
1560	1560	-0.2	-4.95	-5.15
1561	1561	-0.93	-0.39	-1.32
1562	1562	-0.81	0.73	-0.08
1563	1563	0.06	-17.33	-17.27
1564	1564	0.87	-0.56	0.31
1565	1565	0.88	0.53	1.41
1566	1566	0.08	11.89	11.97
1567	1567	-0.79	-0.77	-1.56
1568	1568	-0.94	0.36	-0.58
1569	1569	-0.22	4.36	4.13
1570	1570	0.7	-1.02	-0.32
1571	1571	0.98	0.21	1.19
1572	1572	0.36	2.6	2.96
1573	1573	-0.59	-1.36	-1.95
1574	1574	-1	0.06	-0.94
1575	1575	-0.49	1.79	1.31
1576	1576	0.47	-1.87	-1.4
1577	1577	1	-0.08	0.92
1578	1578	0.61	1.31	1.92
1579	1579	-0.34	-2.74	-3.08
1580	1580	-0.98	-0.22	-1.2
1581	1581	-0.71	0.99	0.28
1582	1582	0.21	-4.74	-4.53
1583	1583	0.93	-0.38	0.56
1584	1584	0.8	0.74	1.54
1585	1585	-0.07	-15.01	-15.08
1586	1586	-0.88	-0.55	-1.43
1587	1587	-0.88	0.54	-0.34
1588	1588	-0.08	13.29	13.22
1589	1589	0.8	-0.75	0.04
1590	1590	0.94	0.37	1.31
1591	1591	0.21	4.54	4.76
1592	1592	-0.71	-1	-1.71
1593	1593	-0.98	0.22	-0.76
1594	1594	-0.35	2.67	2.32
1595	1595	0.6	-1.34	-0.74
1596	1596	1	0.07	1.07
1597	1597	0.48	1.83	2.31
1598	1598	-0.48	-1.83	-2.31
1599	1599	-1	-0.07	-1.07
1600	1600	-0.6	1.34	0.74
1601	1601	0.35	-2.67	-2.32
1602	1602	0.98	-0.22	0.76
1603	1603	0.71	1	1.71
1604	1604	-0.22	-4.54	-4.75
1605	1605	-0.94	-0.37	-1.31
1606	1606	-0.8	0.75	-0.04
1607	1607	0.08	-13.24	-13.17
1608	1608	0.88	-0.54	0.34
1609	1609	0.88	0.55	1.43
1610	1610	0.07	15.08	15.14
1611	1611	-0.8	-0.74	-1.54
1612	1612	-0.93	0.38	-0.56
1613	1613	-0.21	4.74	4.54
1614	1614	0.71	-0.99	-0.27
1615	1615	0.98	0.23	1.2
1616	1616	0.34	2.74	3.09
1617	1617	-0.61	-1.31	-1.92
1618	1618	-1	0.08	-0.92
1619	1619	-0.47	1.87	1.4
1620	1620	0.49	-1.79	-1.3
1621	1621	1	-0.06	0.94
1622	1622	0.59	1.36	1.96
1623	1623	-0.36	-2.6	-2.96
1624	1624	-0.98	-0.21	-1.19
1625	1625	-0.7	1.02	0.32
1626	1626	0.22	-4.35	-4.13
1627	1627	0.94	-0.36	0.58
1628	1628	0.79	0.77	1.56
1629	1629	-0.08	-11.85	-11.93
1630	1630	-0.88	-0.53	-1.41
1631	1631	-0.87	0.56	-0.31
1632	1632	-0.06	17.41	17.35
1633	1633	0.81	-0.73	0.08
1634	1634	0.93	0.39	1.32
1635	1635	0.2	4.96	5.16
1636	1636	-0.72	-0.97	-1.69
1637	1637	-0.97	0.23	-0.74
1638	1638	-0.33	2.82	2.49
1639	1639	0.61	-1.29	-0.68
1640	1640	1	0.09	1.08
1641	1641	0.46	1.91	2.37
1642	1642	-0.5	-1.76	-2.25
1643	1643	-1	-0.05	-1.05
1644	1644	-0.58	1.39	0.81
1645	1645	0.37	-2.53	-2.16
1646	1646	0.98	-0.2	0.78
1647	1647	0.69	1.04	1.73
1648	1648	-0.23	-4.18	-4.42
1649	1649	-0.94	-0.35	-1.29
1650	1650	-0.79	0.78	-0.01
1651	1651	0.09	-10.71	-10.62
1652	1652	0.89	-0.52	0.37
1653	1653	0.87	0.58	1.44
1654	1654	0.05	20.59	20.64
1655	1655	-0.81	-0.71	-1.53
1656	1656	-0.93	0.4	-0.53
1657	1657	-0.19	5.2	5.01
1658	1658	0.72	-0.95	-0.23
1659	1659	0.97	0.24	1.22
1660	1660	0.33	2.9	3.23
1661	1661	-0.62	-1.27	-1.89
1662	1662	-1	0.1	-0.9
1663	1663	-0.46	1.95	1.5
1664	1664	0.5	-1.72	-1.22
1665	1665	1	-0.04	0.95
1666	1666	0.58	1.42	1.99
1667	1667	-0.38	-2.47	-2.84
1668	1668	-0.98	-0.19	-1.17
1669	1669	-0.69	1.06	0.37
1670	1670	0.24	-4.03	-3.78
1671	1671	0.95	-0.34	0.61
1672	1672	0.78	0.8	1.58
1673	1673	-0.1	-9.78	-9.88
1674	1674	-0.89	-0.51	-1.4
1675	1675	-0.86	0.59	-0.27
1676	1676	-0.04	25.19	25.15
1677	1677	0.82	-0.7	0.12
1678	1678	0.93	0.41	1.34
1679	1679	0.18	5.46	5.64
1680	1680	-0.73	-0.94	-1.67
1681	1681	-0.97	0.25	-0.72
1682	1682	-0.32	2.99	2.67
1683	1683	0.63	-1.24	-0.62
1684	1684	0.99	0.11	1.1
1685	1685	0.45	2	2.44
1686	1686	-0.51	-1.69	-2.2
1687	1687	-1	-0.04	-1.03
1688	1688	-0.57	1.44	0.87
1689	1689	0.38	-2.41	-2.02
1690	1690	0.98	-0.18	0.81
1691	1691	0.68	1.08	1.76
1692	1692	-0.25	-3.88	-4.13
1693	1693	-0.95	-0.33	-1.28
1694	1694	-0.78	0.81	0.03
1695	1695	0.11	-8.99	-8.88
1696	1696	0.9	-0.5	0.4
1697	1697	0.86	0.6	1.46
1698	1698	0.03	32.43	32.46
1699	1699	-0.82	-0.69	-1.51
1700	1700	-0.92	0.42	-0.5
1701	1701	-0.17	5.74	5.57
1702	1702	0.74	-0.92	-0.18
1703	1703	0.97	0.26	1.23
1704	1704	0.31	3.08	3.39
1705	1705	-0.63	-1.22	-1.86
1706	1706	-0.99	0.12	-0.88
1707	1707	-0.44	2.04	1.6
1708	1708	0.52	-1.65	-1.13
1709	1709	1	-0.03	0.97
1710	1710	0.56	1.47	2.03
1711	1711	-0.39	-2.35	-2.74
1712	1712	-0.99	-0.17	-1.16
1713	1713	-0.67	1.1	0.42
1714	1714	0.26	-3.74	-3.48
1715	1715	0.95	-0.32	0.63
1716	1716	0.77	0.83	1.6
1717	1717	-0.12	-8.32	-8.44
1718	1718	-0.9	-0.48	-1.38
1719	1719	-0.85	0.61	-0.24
1720	1720	-0.02	45.49	45.47
1721	1721	0.83	-0.67	0.16
1722	1722	0.92	0.43	1.35
1723	1723	0.16	6.06	6.22
1724	1724	-0.74	-0.9	-1.65
1725	1725	-0.96	0.27	-0.69
1726	1726	-0.3	3.17	2.87
1727	1727	0.64	-1.2	-0.56
1728	1728	0.99	0.12	1.12
1729	1729	0.43	2.09	2.52
1730	1730	-0.53	-1.62	-2.14
1731	1731	-1	-0.02	-1.02
1732	1732	-0.55	1.5	0.94
1733	1733	0.4	-2.29	-1.89
1734	1734	0.99	-0.16	0.83
1735	1735	0.67	1.12	1.78
1736	1736	-0.27	-3.61	-3.88
1737	1737	-0.96	-0.31	-1.27
1738	1738	-0.77	0.84	0.08
1739	1739	0.13	-7.74	-7.61
1740	1740	0.9	-0.47	0.43
1741	1741	0.85	0.62	1.47
1742	1742	0.01	76.18	76.19
1743	1743	-0.83	-0.66	-1.5
1744	1744	-0.91	0.44	-0.47
1745	1745	-0.15	6.41	6.26
1746	1746	0.75	-0.89	-0.14
1747	1747	0.96	0.28	1.24
1748	1748	0.29	3.28	3.57
1749	1749	-0.65	-1.18	-1.83
1750	1750	-0.99	0.13	-0.86
1751	1751	-0.42	2.14	1.71
1752	1752	0.53	-1.59	-1.05
1753	1753	1	-0.01	0.99
1754	1754	0.55	1.53	2.08
1755	1755	-0.41	-2.24	-2.64
1756	1756	-0.99	-0.15	-1.14
1757	1757	-0.66	1.14	0.48
1758	1758	0.28	-3.49	-3.22
1759	1759	0.96	-0.3	0.66
1760	1760	0.76	0.86	1.62
1761	1761	-0.14	-7.24	-7.37
1762	1762	-0.91	-0.46	-1.37
1763	1763	-0.84	0.64	-0.21
1764	1764	0	233.92	233.91
1765	1765	0.84	-0.65	0.19
1766	1766	0.91	0.45	1.36
1767	1767	0.15	6.81	6.95
1768	1768	-0.75	-0.87	-1.63
1769	1769	-0.96	0.29	-0.67
1770	1770	-0.28	3.38	3.1
1771	1771	0.65	-1.16	-0.5
1772	1772	0.99	0.14	1.13
1773	1773	0.42	2.19	2.6
1774	1774	-0.54	-1.56	-2.1
1775	1775	-1	0	-1
1776	1776	-0.54	1.56	1.02
1777	1777	0.42	-2.18	-1.77
1778	1778	0.99	-0.14	0.85
1779	1779	0.65	1.16	1.81
1780	1780	-0.28	-3.38	-3.66
1781	1781	-0.96	-0.29	-1.25
1782	1782	-0.75	0.87	0.12
1783	1783	0.15	-6.79	-6.65
1784	1784	0.91	-0.45	0.46
1785	1785	0.84	0.65	1.49
1786	1786	0	-218.51	-218.51
1787	1787	-0.84	-0.64	-1.48
1788	1788	-0.91	0.46	-0.44
1789	1789	-0.14	7.25	7.12
1790	1790	0.76	-0.86	-0.1
1791	1791	0.96	0.3	1.26
1792	1792	0.28	3.5	3.77
1793	1793	-0.66	-1.14	-1.8
1794	1794	-0.99	0.15	-0.84
1795	1795	-0.41	2.24	1.83
1796	1796	0.55	-1.53	-0.98
1797	1797	1	0.01	1.01
1798	1798	0.53	1.59	2.12
1799	1799	-0.42	-2.13	-2.56
1800	1800	-0.99	-0.13	-1.12
1801	1801	-0.65	1.18	0.53
1802	1802	0.29	-3.27	-2.98
1803	1803	0.96	-0.28	0.68
1804	1804	0.75	0.89	1.64
1805	1805	-0.15	-6.4	-6.55
1806	1806	-0.91	-0.44	-1.36
1807	1807	-0.83	0.66	-0.17
1808	1808	0.01	-74.47	-74.45
1809	1809	0.85	-0.62	0.23
1810	1810	0.9	0.47	1.38
1811	1811	0.13	7.76	7.89
1812	1812	-0.77	-0.84	-1.61
1813	1813	-0.96	0.31	-0.64
1814	1814	-0.27	3.62	3.35
1815	1815	0.67	-1.12	-0.45
1816	1816	0.99	0.16	1.15
1817	1817	0.4	2.29	2.69
1818	1818	-0.56	-1.5	-2.05
1819	1819	-1	0.02	-0.98
1820	1820	-0.53	1.62	1.1
1821	1821	0.43	-2.09	-1.65
1822	1822	0.99	-0.12	0.87
1823	1823	0.64	1.2	1.84
1824	1824	-0.3	-3.17	-3.47
1825	1825	-0.97	-0.27	-1.24
1826	1826	-0.74	0.9	0.16
1827	1827	0.16	-6.05	-5.88
1828	1828	0.92	-0.43	0.49
1829	1829	0.83	0.67	1.5
1830	1830	-0.02	-44.88	-44.9
1831	1831	-0.85	-0.61	-1.46
1832	1832	-0.9	0.48	-0.41
1833	1833	-0.12	8.34	8.22
1834	1834	0.77	-0.83	-0.05
1835	1835	0.95	0.32	1.27
1836	1836	0.26	3.75	4
1837	1837	-0.67	-1.1	-1.77
1838	1838	-0.99	0.17	-0.82
1839	1839	-0.39	2.35	1.96
1840	1840	0.56	-1.47	-0.91
1841	1841	1	0.03	1.03
1842	1842	0.52	1.65	2.17
1843	1843	-0.44	-2.04	-2.48
1844	1844	-0.99	-0.12	-1.11
1845	1845	-0.63	1.22	0.59
1846	1846	0.31	-3.08	-2.77
1847	1847	0.97	-0.26	0.71
1848	1848	0.74	0.92	1.66
1849	1849	-0.17	-5.73	-5.9
1850	1850	-0.92	-0.42	-1.34
1851	1851	-0.82	0.69	-0.14
1852	1852	0.03	-32.11	-32.08
1853	1853	0.86	-0.6	0.26
1854	1854	0.9	0.5	1.39
1855	1855	0.11	9.02	9.13
1856	1856	-0.78	-0.81	-1.59
1857	1857	-0.95	0.33	-0.62
1858	1858	-0.25	3.88	3.63
1859	1859	0.68	-1.08	-0.4
1860	1860	0.98	0.18	1.16
1861	1861	0.38	2.41	2.79
1862	1862	-0.57	-1.44	-2.01
1863	1863	-1	0.04	-0.96
1864	1864	-0.51	1.69	1.18
1865	1865	0.45	-1.99	-1.55
1866	1866	0.99	-0.11	0.89
1867	1867	0.63	1.24	1.87
1868	1868	-0.32	-2.99	-3.3
1869	1869	-0.97	-0.25	-1.22
1870	1870	-0.73	0.94	0.21
1871	1871	0.18	-5.45	-5.27
1872	1872	0.93	-0.41	0.52
1873	1873	0.82	0.7	1.52
1874	1874	-0.04	-25	-25.04
1875	1875	-0.86	-0.59	-1.45
1876	1876	-0.89	0.51	-0.38
1877	1877	-0.1	9.81	9.71
1878	1878	0.78	-0.8	-0.01
1879	1879	0.95	0.34	1.29
1880	1880	0.24	4.03	4.27
1881	1881	-0.69	-1.06	-1.75
1882	1882	-0.98	0.19	-0.79
1883	1883	-0.38	2.47	2.09
1884	1884	0.58	-1.42	-0.84
1885	1885	1	0.04	1.04
1886	1886	0.5	1.72	2.22
1887	1887	-0.46	-1.95	-2.41
1888	1888	-1	-0.1	-1.09
1889	1889	-0.62	1.27	0.65
1890	1890	0.33	-2.9	-2.57
1891	1891	0.97	-0.24	0.73
1892	1892	0.72	0.95	1.68
1893	1893	-0.19	-5.19	-5.38
1894	1894	-0.93	-0.4	-1.33
1895	1895	-0.81	0.71	-0.1
1896	1896	0.05	-20.46	-20.41
1897	1897	0.87	-0.58	0.29
1898	1898	0.89	0.52	1.41
1899	1899	0.09	10.75	10.84
1900	1900	-0.79	-0.78	-1.57
1901	1901	-0.94	0.35	-0.59
1902	1902	-0.23	4.19	3.96
1903	1903	0.69	-1.04	-0.35
1904	1904	0.98	0.2	1.18
1905	1905	0.37	2.53	2.9
1906	1906	-0.58	-1.39	-1.97
1907	1907	-1	0.05	-0.95
1908	1908	-0.49	1.76	1.26
1909	1909	0.46	-1.91	-1.45
1910	1910	1	-0.09	0.91
1911	1911	0.61	1.29	1.9
1912	1912	-0.33	-2.82	-3.15
1913	1913	-0.97	-0.23	-1.21
1914	1914	-0.72	0.97	0.25
1915	1915	0.2	-4.95	-4.75
1916	1916	0.93	-0.39	0.54
1917	1917	0.81	0.73	1.54
1918	1918	-0.06	-17.32	-17.37
1919	1919	-0.87	-0.56	-1.43
1920	1920	-0.88	0.53	-0.35
1921	1921	-0.08	11.89	11.81
1922	1922	0.79	-0.77	0.03
1923	1923	0.94	0.36	1.3
1924	1924	0.22	4.36	4.58
1925	1925	-0.7	-1.02	-1.72
1926	1926	-0.98	0.21	-0.77
1927	1927	-0.36	2.6	2.24
1928	1928	0.59	-1.36	-0.77
1929	1929	1	0.06	1.06
1930	1930	0.49	1.79	2.28
1931	1931	-0.47	-1.87	-2.34
1932	1932	-1	-0.08	-1.08
1933	1933	-0.61	1.31	0.71
1934	1934	0.34	-2.74	-2.4
1935	1935	0.98	-0.22	0.75
1936	1936	0.71	0.99	1.7
1937	1937	-0.21	-4.74	-4.94
1938	1938	-0.93	-0.38	-1.31
1939	1939	-0.8	0.74	-0.06
1940	1940	0.07	-15.01	-14.94
1941	1941	0.88	-0.55	0.32
1942	1942	0.88	0.54	1.42
1943	1943	0.07	13.3	13.37
1944	1944	-0.8	-0.75	-1.55
1945	1945	-0.94	0.37	-0.57
1946	1946	-0.21	4.54	4.33
1947	1947	0.71	-1	-0.3
1948	1948	0.98	0.22	1.19
1949	1949	0.35	2.67	3.02
1950	1950	-0.6	-1.34	-1.94
1951	1951	-1	0.07	-0.93
1952	1952	-0.48	1.83	1.35
1953	1953	0.48	-1.83	-1.35
1954	1954	1	-0.07	0.93
1955	1955	0.6	1.34	1.94
1956	1956	-0.35	-2.67	-3.02
1957	1957	-0.98	-0.22	-1.19
1958	1958	-0.71	1	0.3
1959	1959	0.22	-4.54	-4.32
1960	1960	0.94	-0.37	0.57
1961	1961	0.8	0.75	1.55
1962	1962	-0.08	-13.24	-13.31
1963	1963	-0.88	-0.54	-1.42
1964	1964	-0.88	0.55	-0.32
1965	1965	-0.07	15.08	15.02
1966	1966	0.8	-0.74	0.06
1967	1967	0.93	0.38	1.31
1968	1968	0.21	4.74	4.95
1969	1969	-0.71	-0.99	-1.7
1970	1970	-0.98	0.23	-0.75
1971	1971	-0.34	2.74	2.4
1972	1972	0.61	-1.31	-0.71
1973	1973	1	0.08	1.08
1974	1974	0.47	1.87	2.34
1975	1975	-0.49	-1.79	-2.28
1976	1976	-1	-0.06	-1.06
1977	1977	-0.59	1.36	0.77
1978	1978	0.36	-2.6	-2.24
1979	1979	0.98	-0.21	0.77
1980	1980	0.7	1.02	1.72
1981	1981	-0.22	-4.35	-4.58
1982	1982	-0.94	-0.36	-1.3
1983	1983	-0.79	0.77	-0.02
1984	1984	0.08	-11.84	-11.76
1985	1985	0.88	-0.53	0.35
1986	1986	0.87	0.56	1.43
1987	1987	0.06	17.42	17.47
1988	1988	-0.81	-0.73	-1.54
1989	1989	-0.93	0.39	-0.54
1990	1990	-0.2	4.96	4.76
1991	1991	0.72	-0.97	-0.25
1992	1992	0.97	0.23	1.21
1993	1993	0.33	2.82	3.16
1994	1994	-0.61	-1.29	-1.9
1995	1995	-1	0.09	-0.91
1996	1996	-0.46	1.91	1.45
1997	1997	0.5	-1.76	-1.26
1998	1998	1	-0.05	0.95
1999	1999	0.58	1.39	1.97
2000	2000	-0.37	-2.53	-2.9
